Epoch,Total_Loss,Regression_Loss,Classification_Loss,SM_0_RMSE,SM_0_MAE,SM_0_ME,SM_20_RMSE,SM_20_MAE,SM_20_ME,Classification_Accuracy,Classification_F1
91,0.201,0.0055,0.1955,6.22037013,4.78621006,0.49817085,6.52315388,4.99993944,0.40138102,0.96013612,0.96030891
92,0.2695,0.0063,0.2632,6.14573275,4.62121248,1.45988643,6.16614121,4.65359545,0.78918481,0.95819154,0.95793082
93,0.2336,0.0066,0.227,5.93364775,4.57607937,-1.18934166,5.98730939,4.68614149,-0.94985974,0.95916383,0.95893559
94,0.2217,0.0059,0.2158,5.99678239,4.49766016,-1.05834866,6.03573426,4.59185028,-0.73390305,0.96062227,0.96048642
95,0.2116,0.0056,0.2059,5.97048589,4.60417509,0.82143432,6.33609042,4.90436745,0.38247761,0.95819154,0.95791484
96,0.2133,0.0057,0.2076,6.15571491,4.6887989,0.55828828,6.15606255,4.73498058,0.24434391,0.96062227,0.96049741
97,0.229,0.0065,0.2226,5.87218716,4.45497131,0.18759567,5.86383749,4.46446037,-0.10101172,0.95964998,0.95972643
98,0.2331,0.0055,0.2276,5.59988732,4.23119259,0.79712754,5.86583628,4.49656487,0.52943563,0.95964998,0.95999593
99,0.2414,0.0057,0.2357,5.83885273,4.39489889,-1.31416643,6.09647844,4.72423315,-1.9450196,0.96013612,0.960059
100,0.249,0.0054,0.2436,5.93060481,4.43359518,0.34947273,5.98353447,4.54029179,0.34417224,0.96062227,0.9611745
