Epoch,Total_Loss,Regression_Loss,Classification_Loss,SM_0_RMSE,SM_0_MAE,SM_0_ME,SM_20_RMSE,SM_20_MAE,SM_20_ME,Classification_Accuracy,Classification_F1
67,1.4096,0.0261,1.3835,14.34365585,11.00714207,-1.30870724,15.06685946,11.73899174,-2.65699005,0.54594069,0.54073272
68,1.4122,0.0276,1.3846,14.71737632,11.3203373,-0.63709563,14.90889232,11.41519547,-0.78511322,0.54253768,0.54404934
69,1.3451,0.0247,1.3204,13.86855187,10.52463722,1.04844785,13.94947089,10.6496315,0.93202811,0.58240156,0.57943592
70,1.3832,0.0264,1.3569,14.18841523,10.94206715,-1.25944638,14.33350627,11.2062664,-2.24552369,0.56052504,0.55612732
71,1.3562,0.0262,1.33,14.16415353,11.11304665,-1.35237145,13.95302439,10.79376602,-0.76735502,0.587263,0.5812871
72,1.3581,0.0256,1.3325,12.94887525,9.97449017,-0.78395963,13.31019365,10.24928188,-1.35376275,0.59649976,0.58450733
73,1.282,0.0232,1.2588,12.69089406,9.5963459,-0.17956397,12.81373315,9.84576702,0.40377057,0.61448712,0.61330804
74,1.32,0.0238,1.2962,12.56359312,9.74132252,-0.8514744,12.43360295,9.58896732,-0.60842389,0.61740399,0.61315653
75,1.2729,0.0227,1.2502,12.7083899,9.73051929,0.09121756,13.03895425,10.06706905,-1.27051461,0.6110841,0.60596455
76,1.2966,0.0247,1.2719,12.94695081,9.8741703,0.71347308,12.70368834,9.79747105,-0.56068683,0.62275158,0.62029534
77,1.2426,0.0228,1.2198,12.85993031,9.85804939,-1.21375799,12.8016067,9.93024445,-1.52585077,0.63344677,0.62747874
78,1.257,0.0241,1.2329,12.05095219,9.24679661,-0.48983642,11.94212308,9.24371815,0.2316256,0.6251823,0.61801257
79,1.2174,0.021,1.1964,12.47541956,9.67498779,-1.30899417,12.34738747,9.61253834,-0.32474506,0.64560039,0.64537744
80,1.2583,0.0212,1.2371,12.32595508,9.55943966,0.15651383,12.53057783,9.7720356,-1.19863486,0.62955761,0.62680997
81,1.2173,0.0209,1.1964,12.61349295,9.82449055,-3.42384243,12.63341521,9.75471878,-2.67778826,0.63539135,0.63368905
82,1.2141,0.023,1.191,12.16583988,9.48646736,1.28075337,12.19057203,9.47155285,-1.3943634,0.64997569,0.6473847
83,1.1951,0.0217,1.1734,12.47329667,9.64650631,0.22463806,12.83688847,10.04628658,-2.25890255,0.65629558,0.65604452
84,1.169,0.0207,1.1482,12.09097708,9.32942963,-1.03283191,12.10691822,9.35871601,-0.57133675,0.65629558,0.65058922
85,1.1893,0.0206,1.1687,11.4743991,8.7302351,0.56394982,11.64720871,8.96519089,-0.07214841,0.66942149,0.66537033
86,1.1617,0.0207,1.141,11.72551237,9.09152985,1.27546799,11.69959437,9.04242229,-0.88277757,0.6869227,0.68323002
87,1.1596,0.0207,1.139,11.92854205,9.20456982,-2.3091495,11.85988707,9.0836277,0.3141562,0.65629558,0.65316281
