Model,Epoch,Total_Loss,Regression_Loss,Classification_Loss,SM_0_RMSE,SM_0_MAE,SM_0_ME,SM_20_RMSE,SM_20_MAE,SM_20_ME,Classification_Accuracy,Classification_F1,Time_s
mobilevit_s,36,0.22548521,0.00419153,0.22129367,5.99164413,4.6585288,2.56973577,5.82877328,4.51272917,2.15558434,0.94555177,0.94587961,461.2
mobilevit_s,37,0.19899841,0.00362293,0.19537548,5.28394407,3.93307352,0.48493978,5.43671824,4.11324501,0.02854401,0.94603792,0.94622358,463.6
mobilevit_s,38,0.21895978,0.00408543,0.21487435,5.0502616,3.77828336,-0.20499174,5.36975374,4.11172485,0.23235345,0.9523578,0.95322862,461.4
mobilevit_s,39,0.21055333,0.00401826,0.20653507,5.76205739,4.33220673,1.77731407,6.47561443,4.86249876,1.95680928,0.95624696,0.95693557,464.5
mobilevit_s,40,0.19040828,0.00357636,0.18683192,5.17525038,3.860641,0.54612786,5.52890758,4.15057516,0.92644739,0.95138551,0.95178452,466.4
mobilevit_s,41,0.22617504,0.00413211,0.22204293,4.89388608,3.64950275,-0.65104967,4.86729546,3.6742909,-0.2562499,0.95721925,0.95757299,463.1
mobilevit_s,42,0.19557689,0.00385087,0.19172602,6.36207257,4.5216918,-1.92178082,6.03350598,4.47590828,-1.48158729,0.9523578,0.95259533,459.8
mobilevit_s,43,0.18473911,0.00462257,0.18011654,5.22897124,3.87520695,0.65374953,5.3076843,3.95642066,1.02528965,0.95721925,0.9575379,462.0
mobilevit_s,44,0.17799277,0.00351265,0.17448012,5.39766192,4.0987277,1.66286182,5.70873313,4.39694452,1.69262564,0.95138551,0.95233886,531.7
mobilevit_s,45,0.15819069,0.00362811,0.15456259,4.83740173,3.59084201,-0.25770742,4.92006008,3.68915176,-0.48219952,0.95819154,0.95896366,481.3
mobilevit_s,46,0.15199751,0.00320694,0.14879057,5.52818532,4.03092623,0.20425799,6.75040943,4.70736885,1.33697367,0.94846864,0.949128,478.9
mobilevit_s,47,0.17390446,0.00343132,0.17047314,5.43144749,4.00329971,-0.16101417,5.4322056,4.03405857,-0.1346114,0.9577054,0.95878674,488.5
mobilevit_s,48,0.17973103,0.00345648,0.17627455,4.9884145,3.69244552,0.71455699,5.38867064,4.03167295,1.45775068,0.95721925,0.957296,477.8
mobilevit_s,49,0.18128886,0.00370764,0.17758122,5.36073255,4.02827215,2.10215068,5.72556687,4.28107929,2.037503,0.95284395,0.95330789,473.3
mobilevit_s,50,0.17309547,0.00384812,0.16924735,5.18590512,3.8943758,0.54025114,5.43769012,4.07463169,0.71494621,0.95333009,0.95345051,466.0
